make,model,year
Alfa Romeo,1 Series,1957
Alfa Romeo,2,1960
Alfa Romeo,2 Series,1963
Alfa Romeo,3,1965
Alfa Romeo,3 Series,1967
Alfa Romeo,4 Series,1968
Alfa Romeo,4.107,1969
Alfa Romeo,5,1970
Alfa Romeo,5 Series,1971
Alfa Romeo,6,1972
Audi,6 Series,1973
Audi,7 Series,1974
Audi,8,1975
Audi,9-3,1977
Audi,9-5,1978
Audi,25,1979
Audi,45,1980
Audi,57,1981
Audi,75,1982
Audi,80,1983
BMW,90,1984
BMW,100,1985
BMW,106,1986
BMW,107,1987
BMW,123,1988
BMW,124,1989
BMW,125,1990
BMW,145,1991
BMW,147,1992
BMW,155,1993
Bentley,156,1994
Bentley,159,1995
Bentley,166,1996
Bentley,190,1997
Bentley,200,1998
Bentley,200SX,1999
Bentley,206,2000
Bentley,206 Van,2001
Bentley,207,2002
Bentley,207 Cc,2003
CPI,207 Sw,2004
CPI,208,2005
CPI,240,2006
CPI,300C,2007
CPI,306,2008
CPI,307,2009
CPI,307 SW,2010
CPI,308,2011
CPI,308 CC,2012
CPI,308 SW,2013
Cadillac,323,2014
Cadillac,400,2015
Cadillac,400-Series,2016
Cadillac,406,2017
Cadillac,407,2018
Cadillac,407 SW,2019
Cadillac,500,2020
Cadillac,508 SW,2021
Cadillac,960,2022
Cadillac,1007,2023
